"activity_level","activity_year","activity_month","geo_lvl","geo_val","prim_lvl","activity_count"
"Monthly patients","2019","3","National","All England","Total",86515
"Monthly patients","2019","4","National","All England","Total",85448
"Monthly patients","2019","5","National","All England","Total",87662
"Monthly patients","2019","6","National","All England","Total",85841
"Monthly patients","2019","7","National","All England","Total",90630
"Monthly patients","2019","8","National","All England","Total",87302
"Monthly patients","2019","9","National","All England","Total",88598
"Monthly patients","2019","10","National","All England","Total",91055
"Monthly patients","2019","11","National","All England","Total",88673
"Monthly patients","2019","12","National","All England","Total",87307
"Monthly patients","2020","1","National","All England","Total",94471
"Monthly patients","2020","2","National","All England","Total",90720
"Monthly patients","2020","3","National","All England","Total",90799
"Monthly patients","2020","4","National","All England","Total",73650
"Monthly patients","2020","5","National","All England","Total",73830
"Monthly patients","2020","6","National","All England","Total",80550
"Monthly patients","2020","7","National","All England","Total",85744
"Monthly patients","2020","8","National","All England","Total",83777
"Monthly patients","2020","9","National","All England","Total",90992
"Monthly patients","2020","10","National","All England","Total",91880
"Monthly patients","2020","11","National","All England","Total",92428
"Monthly patients","2020","12","National","All England","Total",93335
"Monthly patients","2021","1","National","All England","Total",92671
"Monthly patients","2021","2","National","All England","Total",92460
"Monthly patients","2021","3","National","All England","Total",100484
"Monthly patients","2021","4","National","All England","Total",97993
"Monthly patients","2021","5","National","All England","Total",97746
"Monthly patients","2021","6","National","All England","Total",102097
"Monthly patients","2021","7","National","All England","Total",99805
"Monthly patients","2021","8","National","All England","Total",91073
"Monthly regimens","2019","1","National","All England","Total",91856
"Monthly regimens","2019","2","National","All England","Total",86854
"Monthly regimens","2019","3","National","All England","Total",90827
"Monthly regimens","2019","4","National","All England","Total",89878
"Monthly regimens","2019","5","National","All England","Total",92500
"Monthly regimens","2019","6","National","All England","Total",90002
"Monthly regimens","2019","7","National","All England","Total",95532
"Monthly regimens","2019","8","National","All England","Total",91787
"Monthly regimens","2019","9","National","All England","Total",93016
"Monthly regimens","2019","10","National","All England","Total",96601
"Monthly regimens","2019","11","National","All England","Total",93258
"Monthly regimens","2019","12","National","All England","Total",91554
"Monthly regimens","2020","1","National","All England","Total",99450
"Monthly regimens","2020","2","National","All England","Total",94873
"Monthly regimens","2020","3","National","All England","Total",95614
"Monthly regimens","2020","4","National","All England","Total",77454
"Monthly regimens","2020","5","National","All England","Total",77361
"Monthly regimens","2020","6","National","All England","Total",84569
"Monthly regimens","2020","7","National","All England","Total",90204
"Monthly regimens","2020","8","National","All England","Total",87829
"Monthly regimens","2020","9","National","All England","Total",95811
"Monthly regimens","2020","10","National","All England","Total",96609
"Monthly regimens","2020","11","National","All England","Total",96899
"Monthly regimens","2020","12","National","All England","Total",98287
"Monthly regimens","2021","1","National","All England","Total",97235
"Monthly regimens","2021","2","National","All England","Total",96704
"Monthly regimens","2021","3","National","All England","Total",105710
"Monthly regimens","2021","4","National","All England","Total",102979
"Monthly regimens","2021","5","National","All England","Total",102189
"Monthly regimens","2021","6","National","All England","Total",107252
"Monthly regimens","2021","7","National","All England","Total",104641
"Monthly regimens","2021","8","National","All England","Total",95323
"Monthly activity","2019","1","Cancer Alliance","Cheshire And Merseyside","Total",9552
"Monthly activity","2019","1","Cancer Alliance","East Midlands","Total",17529
"Monthly activity","2019","1","Cancer Alliance","East Of England North","Total",12735
"Monthly activity","2019","1","Cancer Alliance","East Of England South","Total",10909
"Monthly activity","2019","1","Cancer Alliance","Greater Manchester","Total",12532
"Monthly activity","2019","1","Cancer Alliance","Humber Coast And Vale","Total",5200
"Monthly activity","2019","1","Cancer Alliance","Kent And Medway","Total",6609
"Monthly activity","2019","1","Cancer Alliance","Lancashire And South Cumbria","Total",6008
"Monthly activity","2019","1","Cancer Alliance","North Central London","Total",9452
"Monthly activity","2019","1","Cancer Alliance","North East London","Total",5960
"Monthly activity","2019","1","Cancer Alliance","Northern ","Total",12670
"Monthly activity","2019","1","Cancer Alliance","Peninsula","Total",7628
"Monthly activity","2019","1","Cancer Alliance","RM Partners West London","Total",13071
"Monthly activity","2019","1","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",11652
"Monthly activity","2019","1","Cancer Alliance","South East London","Total",7372
"Monthly activity","2019","1","Cancer Alliance","South Yorkshire And Bassetlaw","Total",8207
"Monthly activity","2019","1","Cancer Alliance","Surrey And Sussex","Total",10705
"Monthly activity","2019","1","Cancer Alliance","Thames Valley","Total",8572
"Monthly activity","2019","1","Cancer Alliance","Wessex","Total",10130
"Monthly activity","2019","1","Cancer Alliance","West Midlands","Total",20419
"Monthly activity","2019","1","Cancer Alliance","West Yorkshire and Harrogate","Total",9636
"Monthly activity","2019","2","Cancer Alliance","Cheshire And Merseyside","Total",7928
"Monthly activity","2019","2","Cancer Alliance","East Midlands","Total",15260
"Monthly activity","2019","2","Cancer Alliance","East Of England North","Total",13677
"Monthly activity","2019","2","Cancer Alliance","East Of England South","Total",9561
"Monthly activity","2019","2","Cancer Alliance","Greater Manchester","Total",10907
"Monthly activity","2019","2","Cancer Alliance","Humber Coast And Vale","Total",4586
"Monthly activity","2019","2","Cancer Alliance","Kent And Medway","Total",4785
"Monthly activity","2019","2","Cancer Alliance","Lancashire And South Cumbria","Total",5440
"Monthly activity","2019","2","Cancer Alliance","North Central London","Total",8138
"Monthly activity","2019","2","Cancer Alliance","North East London","Total",5371
"Monthly activity","2019","2","Cancer Alliance","Northern ","Total",11143
"Monthly activity","2019","2","Cancer Alliance","Peninsula","Total",6464
"Monthly activity","2019","2","Cancer Alliance","RM Partners West London","Total",11240
"Monthly activity","2019","2","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",10022
"Monthly activity","2019","2","Cancer Alliance","South East London","Total",6504
"Monthly activity","2019","2","Cancer Alliance","South Yorkshire And Bassetlaw","Total",7158
"Monthly activity","2019","2","Cancer Alliance","Surrey And Sussex","Total",9127
"Monthly activity","2019","2","Cancer Alliance","Thames Valley","Total",7343
"Monthly activity","2019","2","Cancer Alliance","Wessex","Total",8259
"Monthly activity","2019","2","Cancer Alliance","West Midlands","Total",18028
"Monthly activity","2019","2","Cancer Alliance","West Yorkshire and Harrogate","Total",8679
"Monthly activity","2019","3","Cancer Alliance","Cheshire And Merseyside","Total",9288
"Monthly activity","2019","3","Cancer Alliance","East Midlands","Total",15870
"Monthly activity","2019","3","Cancer Alliance","East Of England North","Total",12294
"Monthly activity","2019","3","Cancer Alliance","East Of England South","Total",10114
"Monthly activity","2019","3","Cancer Alliance","Greater Manchester","Total",11503
"Monthly activity","2019","3","Cancer Alliance","Humber Coast And Vale","Total",5027
"Monthly activity","2019","3","Cancer Alliance","Kent And Medway","Total",6338
"Monthly activity","2019","3","Cancer Alliance","Lancashire And South Cumbria","Total",5774
"Monthly activity","2019","3","Cancer Alliance","North Central London","Total",8603
"Monthly activity","2019","3","Cancer Alliance","North East London","Total",5784
"Monthly activity","2019","3","Cancer Alliance","Northern ","Total",11876
"Monthly activity","2019","3","Cancer Alliance","Peninsula","Total",6883
"Monthly activity","2019","3","Cancer Alliance","RM Partners West London","Total",12466
"Monthly activity","2019","3","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",10598
"Monthly activity","2019","3","Cancer Alliance","South East London","Total",6712
"Monthly activity","2019","3","Cancer Alliance","South Yorkshire And Bassetlaw","Total",7628
"Monthly activity","2019","3","Cancer Alliance","Surrey And Sussex","Total",10052
"Monthly activity","2019","3","Cancer Alliance","Thames Valley","Total",7821
"Monthly activity","2019","3","Cancer Alliance","Wessex","Total",9578
"Monthly activity","2019","3","Cancer Alliance","West Midlands","Total",19976
"Monthly activity","2019","3","Cancer Alliance","West Yorkshire and Harrogate","Total",9049
"Monthly activity","2019","4","Cancer Alliance","Cheshire And Merseyside","Total",9694
"Monthly activity","2019","4","Cancer Alliance","East Midlands","Total",16791
"Monthly activity","2019","4","Cancer Alliance","East Of England North","Total",12515
"Monthly activity","2019","4","Cancer Alliance","East Of England South","Total",10663
"Monthly activity","2019","4","Cancer Alliance","Greater Manchester","Total",12239
"Monthly activity","2019","4","Cancer Alliance","Humber Coast And Vale","Total",5050
"Monthly activity","2019","4","Cancer Alliance","Kent And Medway","Total",6228
"Monthly activity","2019","4","Cancer Alliance","Lancashire And South Cumbria","Total",5881
"Monthly activity","2019","4","Cancer Alliance","North Central London","Total",8354
"Monthly activity","2019","4","Cancer Alliance","North East London","Total",5814
"Monthly activity","2019","4","Cancer Alliance","Northern ","Total",12633
"Monthly activity","2019","4","Cancer Alliance","Peninsula","Total",4869
"Monthly activity","2019","4","Cancer Alliance","RM Partners West London","Total",12576
"Monthly activity","2019","4","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",10961
"Monthly activity","2019","4","Cancer Alliance","South East London","Total",6227
"Monthly activity","2019","4","Cancer Alliance","South Yorkshire And Bassetlaw","Total",7970
"Monthly activity","2019","4","Cancer Alliance","Surrey And Sussex","Total",10192
"Monthly activity","2019","4","Cancer Alliance","Thames Valley","Total",8073
"Monthly activity","2019","4","Cancer Alliance","Wessex","Total",9332
"Monthly activity","2019","4","Cancer Alliance","West Midlands","Total",20608
"Monthly activity","2019","4","Cancer Alliance","West Yorkshire and Harrogate","Total",8946
"Monthly activity","2019","5","Cancer Alliance","Cheshire And Merseyside","Total",10500
"Monthly activity","2019","5","Cancer Alliance","East Midlands","Total",18302
"Monthly activity","2019","5","Cancer Alliance","East Of England North","Total",13065
"Monthly activity","2019","5","Cancer Alliance","East Of England South","Total",10925
"Monthly activity","2019","5","Cancer Alliance","Greater Manchester","Total",12683
"Monthly activity","2019","5","Cancer Alliance","Humber Coast And Vale","Total",5467
"Monthly activity","2019","5","Cancer Alliance","Kent And Medway","Total",6734
"Monthly activity","2019","5","Cancer Alliance","Lancashire And South Cumbria","Total",6237
"Monthly activity","2019","5","Cancer Alliance","North Central London","Total",8354
"Monthly activity","2019","5","Cancer Alliance","North East London","Total",3856
"Monthly activity","2019","5","Cancer Alliance","Northern ","Total",12604
"Monthly activity","2019","5","Cancer Alliance","Peninsula","Total",7280
"Monthly activity","2019","5","Cancer Alliance","RM Partners West London","Total",13264
"Monthly activity","2019","5","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",11557
"Monthly activity","2019","5","Cancer Alliance","South East London","Total",7684
"Monthly activity","2019","5","Cancer Alliance","South Yorkshire And Bassetlaw","Total",8233
"Monthly activity","2019","5","Cancer Alliance","Surrey And Sussex","Total",11299
"Monthly activity","2019","5","Cancer Alliance","Thames Valley","Total",8113
"Monthly activity","2019","5","Cancer Alliance","Wessex","Total",9913
"Monthly activity","2019","5","Cancer Alliance","West Midlands","Total",22018
"Monthly activity","2019","5","Cancer Alliance","West Yorkshire and Harrogate","Total",9461
"Monthly activity","2019","6","Cancer Alliance","Cheshire And Merseyside","Total",9303
"Monthly activity","2019","6","Cancer Alliance","East Midlands","Total",15377
"Monthly activity","2019","6","Cancer Alliance","East Of England North","Total",11613
"Monthly activity","2019","6","Cancer Alliance","East Of England South","Total",9714
"Monthly activity","2019","6","Cancer Alliance","Greater Manchester","Total",11549
"Monthly activity","2019","6","Cancer Alliance","Humber Coast And Vale","Total",4907
"Monthly activity","2019","6","Cancer Alliance","Kent And Medway","Total",6006
"Monthly activity","2019","6","Cancer Alliance","Lancashire And South Cumbria","Total",5479
"Monthly activity","2019","6","Cancer Alliance","North Central London","Total",7140
"Monthly activity","2019","6","Cancer Alliance","North East London","Total",5288
"Monthly activity","2019","6","Cancer Alliance","Northern ","Total",11588
"Monthly activity","2019","6","Cancer Alliance","Peninsula","Total",6551
"Monthly activity","2019","6","Cancer Alliance","RM Partners West London","Total",12103
"Monthly activity","2019","6","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",10622
"Monthly activity","2019","6","Cancer Alliance","South East London","Total",6725
"Monthly activity","2019","6","Cancer Alliance","South Yorkshire And Bassetlaw","Total",7485
"Monthly activity","2019","6","Cancer Alliance","Surrey And Sussex","Total",9996
"Monthly activity","2019","6","Cancer Alliance","Thames Valley","Total",7557
"Monthly activity","2019","6","Cancer Alliance","Wessex","Total",8817
"Monthly activity","2019","6","Cancer Alliance","West Midlands","Total",19758
"Monthly activity","2019","6","Cancer Alliance","West Yorkshire and Harrogate","Total",8504
"Monthly activity","2019","7","Cancer Alliance","Cheshire And Merseyside","Total",10096
"Monthly activity","2019","7","Cancer Alliance","East Midlands","Total",18291
"Monthly activity","2019","7","Cancer Alliance","East Of England North","Total",13176
"Monthly activity","2019","7","Cancer Alliance","East Of England South","Total",11254
"Monthly activity","2019","7","Cancer Alliance","Greater Manchester","Total",13266
"Monthly activity","2019","7","Cancer Alliance","Humber Coast And Vale","Total",5526
"Monthly activity","2019","7","Cancer Alliance","Kent And Medway","Total",6861
"Monthly activity","2019","7","Cancer Alliance","Lancashire And South Cumbria","Total",6333
"Monthly activity","2019","7","Cancer Alliance","North Central London","Total",7676
"Monthly activity","2019","7","Cancer Alliance","North East London","Total",6353
"Monthly activity","2019","7","Cancer Alliance","Northern ","Total",13617
"Monthly activity","2019","7","Cancer Alliance","Peninsula","Total",7619
"Monthly activity","2019","7","Cancer Alliance","RM Partners West London","Total",13972
"Monthly activity","2019","7","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",12428
"Monthly activity","2019","7","Cancer Alliance","South East London","Total",7853
"Monthly activity","2019","7","Cancer Alliance","South Yorkshire And Bassetlaw","Total",8346
"Monthly activity","2019","7","Cancer Alliance","Surrey And Sussex","Total",11394
"Monthly activity","2019","7","Cancer Alliance","Thames Valley","Total",8700
"Monthly activity","2019","7","Cancer Alliance","Wessex","Total",10079
"Monthly activity","2019","7","Cancer Alliance","West Midlands","Total",22695
"Monthly activity","2019","7","Cancer Alliance","West Yorkshire and Harrogate","Total",9851
"Monthly activity","2019","8","Cancer Alliance","Cheshire And Merseyside","Total",9873
"Monthly activity","2019","8","Cancer Alliance","East Midlands","Total",17007
"Monthly activity","2019","8","Cancer Alliance","East Of England North","Total",12251
"Monthly activity","2019","8","Cancer Alliance","East Of England South","Total",10350
"Monthly activity","2019","8","Cancer Alliance","Greater Manchester","Total",12435
"Monthly activity","2019","8","Cancer Alliance","Humber Coast And Vale","Total",5294
"Monthly activity","2019","8","Cancer Alliance","Kent And Medway","Total",6758
"Monthly activity","2019","8","Cancer Alliance","Lancashire And South Cumbria","Total",5999
"Monthly activity","2019","8","Cancer Alliance","North Central London","Total",7255
"Monthly activity","2019","8","Cancer Alliance","North East London","Total",5761
"Monthly activity","2019","8","Cancer Alliance","Northern ","Total",12932
"Monthly activity","2019","8","Cancer Alliance","Peninsula","Total",7781
"Monthly activity","2019","8","Cancer Alliance","RM Partners West London","Total",13385
"Monthly activity","2019","8","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",12069
"Monthly activity","2019","8","Cancer Alliance","South East London","Total",7458
"Monthly activity","2019","8","Cancer Alliance","South Yorkshire And Bassetlaw","Total",8084
"Monthly activity","2019","8","Cancer Alliance","Surrey And Sussex","Total",9972
"Monthly activity","2019","8","Cancer Alliance","Thames Valley","Total",7935
"Monthly activity","2019","8","Cancer Alliance","Wessex","Total",9435
"Monthly activity","2019","8","Cancer Alliance","West Midlands","Total",20704
"Monthly activity","2019","8","Cancer Alliance","West Yorkshire and Harrogate","Total",9510
"Monthly activity","2019","9","Cancer Alliance","Cheshire And Merseyside","Total",8885
"Monthly activity","2019","9","Cancer Alliance","East Midlands","Total",17128
"Monthly activity","2019","9","Cancer Alliance","East Of England North","Total",11726
"Monthly activity","2019","9","Cancer Alliance","East Of England South","Total",10251
"Monthly activity","2019","9","Cancer Alliance","Greater Manchester","Total",11926
"Monthly activity","2019","9","Cancer Alliance","Humber Coast And Vale","Total",5033
"Monthly activity","2019","9","Cancer Alliance","Kent And Medway","Total",6583
"Monthly activity","2019","9","Cancer Alliance","Lancashire And South Cumbria","Total",5673
"Monthly activity","2019","9","Cancer Alliance","North Central London","Total",6589
"Monthly activity","2019","9","Cancer Alliance","North East London","Total",5802
"Monthly activity","2019","9","Cancer Alliance","Northern ","Total",12292
"Monthly activity","2019","9","Cancer Alliance","Peninsula","Total",7276
"Monthly activity","2019","9","Cancer Alliance","RM Partners West London","Total",12593
"Monthly activity","2019","9","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",13072
"Monthly activity","2019","9","Cancer Alliance","South East London","Total",7402
"Monthly activity","2019","9","Cancer Alliance","South Yorkshire And Bassetlaw","Total",7858
"Monthly activity","2019","9","Cancer Alliance","Surrey And Sussex","Total",10989
"Monthly activity","2019","9","Cancer Alliance","Thames Valley","Total",8307
"Monthly activity","2019","9","Cancer Alliance","Wessex","Total",9197
"Monthly activity","2019","9","Cancer Alliance","West Midlands","Total",20351
"Monthly activity","2019","9","Cancer Alliance","West Yorkshire and Harrogate","Total",9001
"Monthly activity","2019","10","Cancer Alliance","Cheshire And Merseyside","Total",10541
"Monthly activity","2019","10","Cancer Alliance","East Midlands","Total",19039
"Monthly activity","2019","10","Cancer Alliance","East Of England North","Total",12925
"Monthly activity","2019","10","Cancer Alliance","East Of England South","Total",11494
"Monthly activity","2019","10","Cancer Alliance","Greater Manchester","Total",13285
"Monthly activity","2019","10","Cancer Alliance","Humber Coast And Vale","Total",5758
"Monthly activity","2019","10","Cancer Alliance","Kent And Medway","Total",7238
"Monthly activity","2019","10","Cancer Alliance","Lancashire And South Cumbria","Total",5959
"Monthly activity","2019","10","Cancer Alliance","North Central London","Total",7103
"Monthly activity","2019","10","Cancer Alliance","North East London","Total",5741
"Monthly activity","2019","10","Cancer Alliance","Northern ","Total",14255
"Monthly activity","2019","10","Cancer Alliance","Peninsula","Total",7718
"Monthly activity","2019","10","Cancer Alliance","RM Partners West London","Total",14198
"Monthly activity","2019","10","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",12033
"Monthly activity","2019","10","Cancer Alliance","South East London","Total",7875
"Monthly activity","2019","10","Cancer Alliance","South Yorkshire And Bassetlaw","Total",8531
"Monthly activity","2019","10","Cancer Alliance","Surrey And Sussex","Total",11738
"Monthly activity","2019","10","Cancer Alliance","Thames Valley","Total",9487
"Monthly activity","2019","10","Cancer Alliance","Wessex","Total",9876
"Monthly activity","2019","10","Cancer Alliance","West Midlands","Total",22365
"Monthly activity","2019","10","Cancer Alliance","West Yorkshire and Harrogate","Total",9980
"Monthly activity","2019","11","Cancer Alliance","Cheshire And Merseyside","Total",9494
"Monthly activity","2019","11","Cancer Alliance","East Midlands","Total",17949
"Monthly activity","2019","11","Cancer Alliance","East Of England North","Total",12014
"Monthly activity","2019","11","Cancer Alliance","East Of England South","Total",10699
"Monthly activity","2019","11","Cancer Alliance","Greater Manchester","Total",12111
"Monthly activity","2019","11","Cancer Alliance","Humber Coast And Vale","Total",5449
"Monthly activity","2019","11","Cancer Alliance","Kent And Medway","Total",6425
"Monthly activity","2019","11","Cancer Alliance","Lancashire And South Cumbria","Total",5066
"Monthly activity","2019","11","Cancer Alliance","North Central London","Total",6281
"Monthly activity","2019","11","Cancer Alliance","North East London","Total",5746
"Monthly activity","2019","11","Cancer Alliance","Northern ","Total",12767
"Monthly activity","2019","11","Cancer Alliance","Peninsula","Total",7307
"Monthly activity","2019","11","Cancer Alliance","RM Partners West London","Total",13302
"Monthly activity","2019","11","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",11526
"Monthly activity","2019","11","Cancer Alliance","South East London","Total",7372
"Monthly activity","2019","11","Cancer Alliance","South Yorkshire And Bassetlaw","Total",7984
"Monthly activity","2019","11","Cancer Alliance","Surrey And Sussex","Total",10034
"Monthly activity","2019","11","Cancer Alliance","Thames Valley","Total",8986
"Monthly activity","2019","11","Cancer Alliance","Wessex","Total",8191
"Monthly activity","2019","11","Cancer Alliance","West Midlands","Total",20921
"Monthly activity","2019","11","Cancer Alliance","West Yorkshire and Harrogate","Total",9282
"Monthly activity","2019","12","Cancer Alliance","Cheshire And Merseyside","Total",9063
"Monthly activity","2019","12","Cancer Alliance","East Midlands","Total",17363
"Monthly activity","2019","12","Cancer Alliance","East Of England North","Total",12229
"Monthly activity","2019","12","Cancer Alliance","East Of England South","Total",11368
"Monthly activity","2019","12","Cancer Alliance","Greater Manchester","Total",11717
"Monthly activity","2019","12","Cancer Alliance","Humber Coast And Vale","Total",5207
"Monthly activity","2019","12","Cancer Alliance","Kent And Medway","Total",3799
"Monthly activity","2019","12","Cancer Alliance","Lancashire And South Cumbria","Total",5754
"Monthly activity","2019","12","Cancer Alliance","North Central London","Total",6800
"Monthly activity","2019","12","Cancer Alliance","North East London","Total",5940
"Monthly activity","2019","12","Cancer Alliance","Northern ","Total",12452
"Monthly activity","2019","12","Cancer Alliance","Peninsula","Total",7253
"Monthly activity","2019","12","Cancer Alliance","RM Partners West London","Total",13344
"Monthly activity","2019","12","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",12169
"Monthly activity","2019","12","Cancer Alliance","South East London","Total",7275
"Monthly activity","2019","12","Cancer Alliance","South Yorkshire And Bassetlaw","Total",7380
"Monthly activity","2019","12","Cancer Alliance","Surrey And Sussex","Total",9678
"Monthly activity","2019","12","Cancer Alliance","Thames Valley","Total",8628
"Monthly activity","2019","12","Cancer Alliance","Wessex","Total",9048
"Monthly activity","2019","12","Cancer Alliance","West Midlands","Total",20727
"Monthly activity","2019","12","Cancer Alliance","West Yorkshire and Harrogate","Total",9227
"Monthly activity","2020","1","Cancer Alliance","Cheshire And Merseyside","Total",10117
"Monthly activity","2020","1","Cancer Alliance","East Midlands","Total",19369
"Monthly activity","2020","1","Cancer Alliance","East Of England North","Total",13792
"Monthly activity","2020","1","Cancer Alliance","East Of England South","Total",11675
"Monthly activity","2020","1","Cancer Alliance","Greater Manchester","Total",11880
"Monthly activity","2020","1","Cancer Alliance","Humber Coast And Vale","Total",6042
"Monthly activity","2020","1","Cancer Alliance","Kent And Medway","Total",7076
"Monthly activity","2020","1","Cancer Alliance","Lancashire And South Cumbria","Total",6710
"Monthly activity","2020","1","Cancer Alliance","North Central London","Total",6669
"Monthly activity","2020","1","Cancer Alliance","North East London","Total",6590
"Monthly activity","2020","1","Cancer Alliance","Northern ","Total",13987
"Monthly activity","2020","1","Cancer Alliance","Peninsula","Total",8144
"Monthly activity","2020","1","Cancer Alliance","RM Partners West London","Total",14517
"Monthly activity","2020","1","Cancer Alliance","Somerset Wiltshire Avon & Gloucester","Total",13288
"Monthly activity","2020","1","Cancer Alliance","South East London","Total",7566
